id,url,twitterUrl,fullText,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,bookmarkCount,isReply,inReplyToId,conversationId,inReplyToUserId,inReplyToUsername,isPinned,isRetweet,isQuote,isConversationControlled,possiblySensitive,quoteId,quote,retweet,sent_bear,sent_neut,sent_bull,tickers
1849489118390276492,https://x.com/elonmusk/status/1849489118390276492,https://twitter.com/elonmusk/status/1849489118390276492,"SpaceX &amp; Tesla continue to execute extremely well, despite being large companies",9835.0,5307.0,140612.0,459.0,44551202.0,2024-10-24 16:32:22+00:00,1847.0,False,,1.8494891183902764e+18,,,False,False,False,False,,,,,1.77453358674029e-08,1.0,1.8262525713907962e-08,[]
1848937304498270399,https://x.com/elonmusk/status/1848937304498270399,https://twitter.com/elonmusk/status/1848937304498270399,Wild to think that Tesla’s mass flux is ~4 million tons of complex manufactured goods,4112.0,3023.0,55977.0,177.0,23189401.0,2024-10-23 03:59:39+00:00,856.0,False,,1.8489373044982705e+18,,,False,False,False,False,,,,,0.9994113445281982,5.565036190091632e-06,0.0005830467562191188,[]
1848873322098135386,https://x.com/elonmusk/status/1848873322098135386,https://twitter.com/elonmusk/status/1848873322098135386,@SawyerMerritt @Tesla Cool,74.0,67.0,1689.0,10.0,80861.0,2024-10-22 23:45:25+00:00,22.0,True,1.848869554006672e+18,1.848869554006672e+18,243013409.0,SawyerMerritt,False,False,False,False,,,,,0.9940240979194641,0.0032393031287938356,0.0027365684509277344,[]
1848807587510423812,https://x.com/elonmusk/status/1848807587510423812,https://twitter.com/elonmusk/status/1848807587510423812,"@FutureJurvetson The last automotive factory in California (NUMMI) shut down in early 2009. 

Tesla took over the derelict building, after it was stripped of anything useful, and it is now the highest production car factory in the Americas!

That was simply because I lived in California.",206.0,74.0,2085.0,9.0,47154.0,2024-10-22 19:24:12+00:00,94.0,True,1.848791212083581e+18,1.848791212083581e+18,125499355.0,FutureJurvetson,False,False,False,False,,,,,0.34464240074157715,0.5397130846977234,0.11564445495605469,[]
1848767146685567268,https://x.com/elonmusk/status/1848767146685567268,https://twitter.com/elonmusk/status/1848767146685567268,@ajtourville @Tesla That movie sucked,151.0,465.0,3241.0,108.0,312569.0,2024-10-22 16:43:30+00:00,75.0,True,1.8487082201744013e+18,1.8487082201744013e+18,8.747762465924301e+17,ajtourville,False,False,False,False,,,,,0.9999157190322876,3.0776077437622007e-06,8.113889634842053e-05,[]
1847771876078330255,https://x.com/elonmusk/status/1847771876078330255,https://twitter.com/elonmusk/status/1847771876078330255,@LinusEkenstam @MKBHD @Tesla @ChristianSelig Exactly,26.0,44.0,990.0,7.0,25573.0,2024-10-19 22:48:39+00:00,16.0,True,1.847753692331774e+18,1.8473290895997087e+18,3888491.0,LinusEkenstam,False,False,False,False,,,,,0.9976397752761841,0.0013190268073230982,0.00104118965100497,[]
1847762338402677080,https://x.com/elonmusk/status/1847762338402677080,https://twitter.com/elonmusk/status/1847762338402677080,@dhaval_shroff Tesla engineering talent is awesome!,68.0,63.0,1204.0,9.0,26190.0,2024-10-19 22:10:45+00:00,17.0,True,1.8477555122823048e+18,1.8477555122823048e+18,367705862.0,dhaval_shroff,False,False,False,False,,,,,0.0009915089467540383,0.9989306330680847,7.78747271397151e-05,[]
1847679277900120174,https://x.com/elonmusk/status/1847679277900120174,https://twitter.com/elonmusk/status/1847679277900120174,"The Plaid Speed Model S Tesla does 0 to 60 mph in 2 seconds. Crushes any million dollar sports car, despite being a 4 door sedan.",4040.0,3107.0,42411.0,256.0,20032747.0,2024-10-19 16:40:42+00:00,1401.0,False,,1.84767927790012e+18,,,False,False,True,False,,1.8476438785073687e+18,"{'type': 'tweet', 'id': '1847643878507368619', 'text': 'NEWS: Bestie @friedberg finally bought his first @Tesla, a Plaid Model S – Says FSD is really impressive and speed is insane, faster than his Audi RS 7 https://t.co/VNI4rigfhq', 'source': 'Twitter Web App', 'retweetCount': 210, 'replyCount': 153, 'likeCount': 2282, 'quoteCount': 48, 'viewCount': 20334210, 'createdAt': 'Sat Oct 19 14:20:02 +0000 2024', 'lang': 'en', 'bookmarkCount': 129, 'possiblySensitive': False, 'isPinned': False, 'author': {'type': 'user', 'userName': 'ajtourville', 'url': 'https://x.com/ajtourville', 'twitterUrl': 'https://twitter.com/ajtourville', 'id': '874776246592430080', 'name': 'ALEX', 'isVerified': False, 'isBlueVerified': True, 'profilePicture': 'https://pbs.twimg.com/profile_images/1515410865499119620/s1ws6CFZ_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/874776246592430080/1727545416', 'description': 'Physics engineer here for the progress of disruptive innovations and ventures\nElon Musk picked my 𝕏 logo design for 𝕏\nAll-in $TSLA since 08/2019', 'location': '𝕏 🇨🇦 🇧🇷 🇭🇷 ', 'followers': 172044, 'following': 604, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Jun 13 23:51:24 +0000 2017', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'tesla.com/referral/alexa…', 'expanded_url': 'https://www.tesla.com/referral/alexandre24448', 'url': 'https://t.co/6jphQOQLxF', 'indices': [0, 23]}]}}, 'fastFollowersCount': 0, 'favouritesCount': 179561, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 10153, 'statusesCount': 50318, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {'label': {'url': {'url': 'https://twitter.com/Rebellionair3', 'urlType': 'DeepLink'}, 'badge': {'url': 'https://pbs.twimg.com/profile_images/1697645380740034567/2GcYMCWS_bigger.jpg'}, 'description': 'Rebellionaire', 'userLabelType': 'BusinessLabel', 'userLabelDisplayType': 'Badge'}}, 'possiblySensitive': False, 'pinnedTweetIds': []}, 'extendedEntities': {'media': [{'display_url': 'pic.x.com/VNI4rigfhq', 'expanded_url': 'https://x.com/ajtourville/status/1847643878507368619/video/1', 'id_str': '1847643463023808514', 'indices': [152, 175], 'media_key': '7_1847643463023808514', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1847643463023808514/pu/img/1iHCDWM1CLkMWBCS.jpg', 'type': 'video', 'url': 'https://t.co/VNI4rigfhq', 'additional_media_info': {'monetizable': False}, 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 720, 'w': 1280, 'resize': 'fit'}, 'medium': {'h': 675, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 383, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 720, 'width': 1280, 'focus_rects': []}, 'allow_download_status': {'allow_download': True}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 41432, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1847643463023808514/pu/pl/KgQYyZ9yv6Q5yKOm.m3u8?tag=12&v=de4'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1847643463023808514/pu/vid/avc1/480x270/LIekULp5QHMi78UO.mp4?tag=12'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1847643463023808514/pu/vid/avc1/640x360/vZRsptOHK0KnMBrK.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1847643463023808514/pu/vid/avc1/1280x720/MvHEFSs0ol6-dQmS.mp4?tag=12'}]}, 'media_results': {'result': {'media_key': '7_1847643463023808514'}}}]}, 'card': {}, 'place': {}, 'entities': {'hashtags': [], 'media': [{'display_url': 'pic.x.com/VNI4rigfhq', 'expanded_url': 'https://x.com/ajtourville/status/1847643878507368619/video/1', 'id_str': '1847643463023808514', 'indices': [152, 175], 'media_key': '7_1847643463023808514', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1847643463023808514/pu/img/1iHCDWM1CLkMWBCS.jpg', 'type': 'video', 'url': 'https://t.co/VNI4rigfhq', 'additional_media_info': {'monetizable': False}, 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 720, 'w': 1280, 'resize': 'fit'}, 'medium': {'h': 675, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 383, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 720, 'width': 1280, 'focus_rects': []}, 'allow_download_status': {'allow_download': True}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 41432, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1847643463023808514/pu/pl/KgQYyZ9yv6Q5yKOm.m3u8?tag=12&v=de4'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1847643463023808514/pu/vid/avc1/480x270/LIekULp5QHMi78UO.mp4?tag=12'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1847643463023808514/pu/vid/avc1/640x360/vZRsptOHK0KnMBrK.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1847643463023808514/pu/vid/avc1/1280x720/MvHEFSs0ol6-dQmS.mp4?tag=12'}]}, 'media_results': {'result': {'media_key': '7_1847643463023808514'}}}], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': [{'id_str': '16359535', 'name': 'david friedberg', 'screen_name': 'friedberg', 'indices': [13, 23]}, {'id_str': '13298072', 'name': 'Tesla', 'screen_name': 'Tesla', 'indices': [49, 55]}]}}",,0.9999954700469971,1.537005914542533e-06,3.00857686852396e-06,[]
1846407635370639868,https://x.com/elonmusk/status/1846407635370639868,https://twitter.com/elonmusk/status/1846407635370639868,@YunTaTsai1 Great work by the Tesla team!,58.0,44.0,1063.0,7.0,21720.0,2024-10-16 04:27:39+00:00,13.0,True,1.846397914974724e+18,1.846397914974724e+18,1.577705091737432e+18,YunTaTsai1,False,False,False,False,,,,,0.0002608448558021337,0.9997361302375793,2.9523391731345328e-06,[]
1846268033461113068,https://x.com/elonmusk/status/1846268033461113068,https://twitter.com/elonmusk/status/1846268033461113068,@SawyerMerritt @Tesla True,152.0,110.0,4318.0,10.0,114689.0,2024-10-15 19:12:55+00:00,57.0,True,1.8462465069340303e+18,1.8462465069340303e+18,243013409.0,SawyerMerritt,False,False,False,False,,,,,0.989916980266571,0.004847798030823469,0.005235279444605112,[]
